1,5034642036986,778,KIVEXA CAJA 30 TABLETAS 600/300 MG,ABACAVIR SULFATO/LAMIVUDINA,CAJA 30 TABLETAS 600/300 MG,CAJA,30,MILIGRAMOS,TABLETAS,600/300MG,10,891,891,0,ESPECIALIDAD,0,,479M2005,IV,GLAXO WELLCOME OPERATIONS,REINO UNIDO,III,8731.25,P
2,7501082241006,27,REOPRO FRASCO AMPULA 5 ML 10 MG,ABCIXIMAB,FRASCO AMPULA 5 ML 10 MG,FRASCO,1,MILIGRAMOS,SOLUCION INYECTABLE,5ML/10MG,10,1354.13,1354.13,0,ESPECIALIDAD,0,,048M99,IV,CENTOCOR B.V.,HOLANDA,III,6770.66,P
3,7501022110263,291,PIASCLEDINE 300 CAJA CON 15 CAPSULAS 100/200 MG,ACEITE INSAPONIFICABLE DE PERSEA GRATISSIMA Y GLYCINE MAX,CAJA CON 15 CAPSULAS 100/200 MG,CAJA,15,MILIGRAMOS,CÁPSULAS,100/200MG,10,482.65,482.65,0,EMEQUR,0,,032P2002,IV,LABORATOIRES EXPANSCIENCE,FRANCIA,III,554.78,P
4,7501088607806,260,NATURALAG LUB TUBO UNGÜENTO  3.5 G 30 / 30MG,ACEITE MINERAL / LANOLINA ANHIDRA,TUBO UNGÜENTO 3.5 G 30 / 30 MG,TUBO,3.5,MILIGRAMOS,UNGÜENTO,30/30MG,10,113.58,113.58,16,ALCON,0,,223M83,,S.A. ALCON-COUVREUR N.V.,BELGICA,III,214.22,P
5,4019338605142,314,RANTUDIL CAJA CON 28 CAPSULAS 60 MG,ACEMETACINA,CAJA CON 28 CAPSULAS 60 MG,CAJA,28,MILIGRAMOS,CÁPSULAS,60MG,10,438.48,438.48,0,NORVENT,0,,247M96,IV,MEDA MANUFACTURING GMBH,ALEMANIA,III,504,P
6,7501471889611,510,FITROMTEC CAJA CON 20 TABLETAS 4 MG,ACENOCUMAROL,CAJA CON 20 TABLETAS 4 MG,CAJA,20,MILIGRAMOS,TABLETAS,4MG,10,199.03,199.03,0,TECNOFARMA,0,,358M2004,IV,TECNOFARMA S.A. DE C.V.,MEXICO,IX,228.78,P
7,7502001162976,435,ASPITAK-P CAJA CON 30 COMPRIMIDOS 100 MG,ACETILSALICILICO ACIDO,CAJA CON 28 COMPRIMIDOS 100 MG,CAJA,30,MILIGRAMOS,COMPRIMIDOS,100MG,10,82.65,82.65,0,SEVI,0,X,382M2008,IV,LABORATORIOS QUIMICA SON´S S.A. DE C.V.,MEXICO,IX,95,N
8,8400000026,33,ACETA-DIAZOL FRASCO 30 TABLETAS 250 MG,ACETOZOLAMIDA,FRASCO 30 TABLETAS 250 MG,FRASCO,30,MILIGRAMOS,TABLETAS,250MG,10,54.39,54.39,0,VARIOS,0,,47790,IV,LABORATORIOS GRIN S.A. DE C.V.,MEXICO,IX,457.96,P
9,7502247374164,535,LANDVIR CAJA CON 25 TABLETAS 200MG,ACICLOVIR,CAJA CON 25 COMPRIMIDOS  200MG,CAJA,25,MILIGRAMOS,TABLETAS,200MG,10,184.74,184.74,0,SEVI,0,X,229M2004,IV,LANDSTEINER SCIENTIFIC S.A. DE C.V.,MEXICO,IX,217.35,N
10,785120753530,549,MACLOV CAJA CON 35 TABLETAS  400 MG,ACICLOVIR,CAJA CON 35 TABLETAS 400 MG,CAJA,35,MILIGRAMOS,TABLETAS,400MG,10,234.9,234.9,0,SEVI,0,,570M96,IV,MAVI FARMACEUTICA S.A. DE C.V.,MEXICO,IX,270,N
11,785118753528,539,LESACLOR FRASCO SUSPENSION 125 ML 4 G/100 ML,ACICLOVIR,FRASCO SUSPENSION 120 ML 4 G/100 ML,FRASCO,125,GRAMOS,SUSPENSIÓN,4G/100ML,10,81,81,0,SEVI,0,X,119M99,IV,MAVI FARMACEUTICA S.A. DE C.V.,MEXICO,IX,162,N
